Peak_ID;Gene_Name
chr6-5260728-5261568;FARS2
chr6-5470740-5471595;FARS2
chr6-6546737-6547505;LY86
chr6-6676595-6677484;LY86
chr6-6694300-6694702;LY86
chr6-6696736-6697547;LY86
chr6-6712677-6713569;LY86
chr6-6724277-6725131;LY86
chr6-6751427-6752328;LY86
chr6-7086207-7087054;RREB1
chr6-7107389-7107996;RREB1
chr6-7112382-7113291;RREB1
chr6-7126479-7127395;RREB1
chr6-7140703-7141608;RREB1
chr6-7166587-7167380;RREB1
chr6-7243047-7243984;RREB1
chr6-7312826-7313698;RREB1
chr6-7312826-7313698;SSR1
chr6-7275677-7276582;SSR1
chr6-7389310-7390182;CAGE1
chr6-7389310-7390182;RIOK1
chr6-7424745-7425594;RIOK1
chr6-7431027-7431920;RIOK1
chr6-7589805-7590664;DSP
chr6-7589805-7590664;SNRNP48
chr6-7722818-7723687;BMP6
chr6-7910400-7911241;TXNDC5
chr6-8063992-8064849;BLOC1S5
chr6-8102134-8103019;EEF1E1
chr6-8435092-8436001;SLC35B3
chr6-10694269-10695209;PAK1IP1
chr6-11068711-11069597;SMIM13
chr6-11093466-11094283;SMIM13
chr6-11144341-11144806;SMIM13
chr6-11172275-11173183;NEDD9
chr6-11232279-11233177;NEDD9
chr6-11258005-11258869;NEDD9
chr6-11381821-11382702;NEDD9
chr6-11386139-11387006;NEDD9
chr6-11519216-11520116;TMEM170B
chr6-11537154-11538051;TMEM170B
chr6-11575228-11576135;TMEM170B
chr6-11585118-11586038;TMEM170B
chr6-11699896-11700721;ADTRP
chr6-12011011-12011907;HIVEP1
chr6-12060545-12061452;HIVEP1
chr6-12233617-12234522;EDN1
chr6-12235233-12236029;EDN1
chr6-12363343-12364254;EDN1
chr6-12637720-12638626;PHACTR1
chr6-12889860-12890770;PHACTR1
chr6-12893564-12894482;PHACTR1
chr6-12911149-12912009;PHACTR1
chr6-12957127-12958033;PHACTR1
chr6-13328107-13328997;PHACTR1
chr6-13328107-13328997;TBC1D7
chr6-13336216-13337102;TBC1D7
chr6-13377249-13378028;TBC1D7
chr6-13377249-13378028;GFOD1
chr6-13354177-13354960;GFOD1
chr6-13432447-13433200;GFOD1
chr6-13487264-13488080;GFOD1
chr6-13574079-13574908;SIRT5
chr6-13614825-13615740;SIRT5
chr6-13614825-13615740;NOL7
chr6-13711498-13712389;RANBP9
chr6-13711498-13712389;RNU6-1032P
chr6-13794842-13795734;RANBP9
chr6-13794842-13795734;MCUR1
chr6-13813944-13814862;MCUR1
chr6-13908658-13909548;RNF182
chr6-14046191-14047083;RNF182
chr6-14066582-14067482;CD83
chr6-15232617-15233533;JARID2
chr6-15245142-15246067;JARID2
chr6-15248305-15249184;JARID2
chr6-15266142-15266992;JARID2
chr6-15317890-15318687;JARID2
chr6-15340570-15341460;JARID2
chr6-15365038-15365927;JARID2
chr6-15390016-15390715;JARID2
chr6-15623337-15624185;JARID2
chr6-15623337-15624185;DTNBP1
chr6-15662537-15663235;DTNBP1
chr6-15683114-15684025;RNU6-916P
chr6-15690982-15691886;RNU6-916P
chr6-16128629-16129463;MYLIP
chr6-16130674-16131570;MYLIP
chr6-16182825-16183665;MYLIP
chr6-16184039-16184798;MYLIP
chr6-16285792-16286503;GMPR
chr6-16331094-16331797;GMPR
chr6-16331918-16332668;GMPR
chr6-16331094-16331797;ATXN1
chr6-16331918-16332668;ATXN1
chr6-17583978-17584896;FAM8A1
chr6-17599995-17600804;FAM8A1
chr6-17706500-17707294;FAM8A1
chr6-17706500-17707294;NUP153
chr6-17714865-17715755;NUP153
chr6-17803958-17804830;KIF13A
chr6-18154849-18155768;KDM1B
chr6-18154849-18155768;TPMT
chr6-18264256-18265100;DEK
chr6-18323984-18324815;RNF144B
chr6-18503605-18504497;RNF144B
chr9-96442258-96443008;PHF2
chr9-96435983-96436809;PHF2
chr9-95896277-95897136;NINJ1
chr9-95857593-95858475;CARD19
chr9-93566242-93567120;SYK
chr9-93955252-93956084;AUH
chr9-94065203-94066113;AUH
chr5-176543060-176543888;NSD1
chr5-134240330-134241202;TXNDC15
chr5-134240330-134241202;PCBD2
chr9-86322910-86323820;UBQLN1
chr9-97487630-97488540;AOPEP
chr9-97889738-97890605;FANCC
chr9-97934604-97935435;FANCC
chr9-99085907-99086821;HSD17B3
chr9-99085907-99086821;SLC35D2
chr9-99211631-99212461;HABP4
chr5-7927483-7928305;MTRR
chr5-7886803-7887806;MTRR
chr5-7392085-7392993;ADCY2
chr5-6820603-6821469;TENT4A
chr5-6765382-6766064;TENT4A
chr5-6712752-6713686;TENT4A
chr5-6712752-6713686;NSUN2
chr5-6632794-6633728;NSUN2
chr5-6632794-6633728;SRD5A1
chr5-5496912-5497801;ICE1
chr5-5422008-5422924;ICE1
chr5-5418979-5419847;ICE1
chr5-5141444-5142308;ADAMTS16
chr5-1800935-1801816;NDUFS6
chr5-1799409-1800263;MRPL36
chr5-1523615-1524530;LPCAT1
chr5-1477031-1477896;LPCAT1
chr5-1344661-1345559;SLC6A3
chr5-1344661-1345559;CLPTM1L
chr5-1111643-1112342;SLC12A7
chr5-892328-893220;TRIP13
chr5-892328-893220;BRD9
chr5-671323-672106;TPPP
chr5-611834-612749;CEP72
chr5-442679-443590;SLC9A3
chr5-442679-443590;EXOC3
chr5-399609-400512;EXOC3
chr5-399609-400512;AHRR
chr5-271090-272003;PDCD6
chr5-217769-218683;SDHA
chr5-217769-218683;CCDC127
chr5-96142774-96143629;ERAP1
chr5-95262919-95263586;ELL2
chr5-83386761-83387668;EDIL3
chr5-83155742-83156437;EDIL3
chr5-83152740-83153549;EDIL3
chr5-81506648-81507556;ATG10
chr5-81301185-81302071;ATG10
chr5-80993653-80994537;SSBP2
chr5-80867236-80867927;SSBP2
chr5-80370061-80370980;RASGRF2
chr5-79552827-79553698;SERINC5
chr5-78908239-78908905;TENT2
chr5-78886380-78886994;TENT2
chr5-77590152-77591063;AP3B1
chr5-76855679-76856582;WDR41
chr5-76736832-76737708;WDR41
chr5-76732705-76733576;WDR41
chr5-76625007-76625814;PDE8B
chr5-76325627-76326531;ZBED3
chr5-76325627-76326531;AGGF1
chr5-74633023-74633621;HMGCR
chr5-68739737-68740615;MARVELD2
chr5-67542174-67543009;PIK3R1
chr5-64768245-64769173;ADAMTS6
chr5-60256303-60257047;NDUFAF2
chr5-59093076-59093991;PDE4D
chr5-59042400-59043252;PDE4D
chr5-58484253-58485110;PDE4D
chr5-57779194-57780091;GAPT
chr5-56516676-56517603;GPBP1
chr5-56469768-56470717;GPBP1
chr5-56148267-56149103;MAP3K1
chr5-52856392-52857211;NDUFS4
chr5-49661031-49661837;EMB
chr5-44808457-44809313;MRPS30
chr5-43631009-43631888;NNT
chr5-43603769-43604480;NNT
chr5-43602710-43603577;NNT
chr5-43556534-43557467;PAIP1
chr5-43514672-43515550;PAIP1
chr5-43514672-43515550;C5orf34
chr5-43483625-43484413;C5orf34
chr5-43483625-43484413;TMEM267
chr5-43396662-43397554;CCL28
chr5-43389465-43390369;CCL28
chr5-43313147-43314025;HMGCS1
chr5-43120963-43121790;ZNF131
chr2-26255703-26256500;RAB10
chr2-25419391-25420206;DNMT3A
chr2-24577319-24578155;ITSN2
chr2-24579339-24580221;ITSN2
chr2-24047038-24047945;ATAD2B
chr2-23896479-23897345;ATAD2B
chr2-23896479-23897345;KLHL29
chr2-21250283-21251008;APOB
chr2-15732014-15732891;DDX1
chr2-9539152-9539948;ASAP2
chr2-9539152-9539948;ITGB1BP1
chr2-9618140-9619042;CPSF3
chr2-9618140-9619042;IAH1
chr2-9770203-9771058;YWHAQ
chr2-9771494-9772240;YWHAQ
chr2-10091084-10091985;GRHL1
chr2-8821103-8821855;KIDINS220
chr2-8822013-8822824;KIDINS220
chr2-8821103-8821855;ID2
chr2-8822013-8822824;ID2
chr2-8684469-8685225;ID2
chr2-7037493-7038389;RNF144A
chr2-7037493-7038389;RSAD2
chr2-6913443-6914313;CMPK2
chr2-3604975-3605897;RNASEH1
chr2-676694-677569;TMEM18
chr2-662236-663108;TMEM18
chr2-264430-265318;ACP1
chr2-264430-265318;SH3YL1
chr7-107103118-107104038;COG5
chr7-107103118-107104038;GPR22
chr7-106783164-106783981;PRKAR2B
chr7-105924574-105925489;NAMPT
chr7-105693460-105694261;CDHR3
chr7-105319357-105320254;ATXN7L1
chr7-105306119-105307009;ATXN7L1
chr7-16684809-16685649;BZW2
chr7-16684809-16685649;ANKMY2
chr7-12640760-12641705;SCIN
chr7-112089307-112090211;IFRD1
chr14-31090520-31091411;G2E3
chr14-31090520-31091411;SCFD1
chr14-31925813-31926671;DTD2
chr14-32938222-32939089;AKAP6
chr14-34930931-34931629;SPTSSA
chr14-35344052-35344865;BAZ1A
chr14-35375460-35376256;BAZ1A
chr14-38056017-38056897;FOXA1
chr14-38064890-38065781;FOXA1
chr14-47746733-47747681;MDGA2
chr14-50064708-50065619;LRR1
chr14-50087086-50087948;LRR1
chr14-50087086-50087948;RPL36A
chr14-50087086-50087948;MGAT2
chr14-50779034-50779757;L2HGDH
chr14-50779034-50779757;DMAC2L
chr14-50785115-50786028;L2HGDH
chr14-50785115-50786028;DMAC2L
chr14-51744454-51745377;TMX1
chr14-58746963-58747859;PSMA3
chr14-60051422-60052269;CCDC175
chr14-60812789-60813712;C14orf39
chr14-61321170-61322088;MNAT1
chr14-61333890-61334772;MNAT1
chr14-61334886-61335296;MNAT1
chr14-61491660-61492532;SLC38A6
chr14-61719556-61720365;TMEM30B
chr14-61752404-61753268;TMEM30B
chr14-63626410-63627279;RHOJ
chr14-63641605-63642617;RHOJ
chr14-64194984-64195885;SGPP1
chr14-64496486-64497331;SYNE2
chr14-64854501-64855371;MTHFD1
chr14-65879233-65880064;FUT8
chr14-68137494-68138222;VTI1B
chr14-68283234-68284052;ZFYVE26
chr14-68392417-68393313;RAD51B
chr14-68397115-68398026;RAD51B
chr14-68513540-68514391;RAD51B
chr14-69376183-69377083;ACTN1
chr14-69619936-69620779;DCAF5
chr14-70018622-70019524;CCDC177
chr14-70882764-70883687;SYNJ2BP
chr14-74111294-74112196;ACOT6
chr14-74111294-74112196;DNAL1
chr14-74402623-74403415;FAM161B
chr14-74484782-74485657;ENTPD5
chrX-119004645-119005517;BBOF1
chr14-74684252-74685127;LIN52
chr14-74828951-74829777;VRTN
chr14-75229892-75230782;FCF1
chr14-75229892-75230782;YLPM1
chr14-75439835-75440578;PGF
chr14-75605002-75605917;NEK9
chr14-75605002-75605917;TMED10
chr14-77590909-77591806;ZDHHC22
chr14-79063965-79064867;NRXN3
chr14-81406627-81407532;CEP128
chr14-81452892-81453781;CEP128
chr14-81452892-81453781;TSHR
chr14-86027946-86028697;FLRT2
chr14-89564248-89564954;FOXN3
chr14-89959807-89960710;FOXN3
chr14-90722293-90723200;KCNK13
chr14-90722293-90723200;PSMC1
chr14-90701103-90701995;PSMC1
chr14-91282994-91283853;TTC7B
chr14-91865826-91866668;CCDC88C
chr14-91882455-91883301;CCDC88C
chr14-92462849-92463773;TRIP11
chr14-92505432-92506255;TRIP11
chr14-92979298-92980126;RIN3
chr14-93151140-93152080;RIN3
chr14-93379609-93380486;CHGA
chr14-93509850-93510723;ITPK1
chr14-93510978-93511680;ITPK1
chr14-93618894-93619774;GON7
chr14-94405192-94406044;ASB2
chr14-94423274-94424143;ASB2
chr14-96027136-96028006;GLRX5
chr14-96741140-96742051;ATG2B
chr14-97032891-97033816;PAPOLA
chr14-99946610-99947446;SETD3
chr14-99946610-99947446;CCNK
chr14-99982212-99983116;CCNK
chr14-99982212-99983116;CCDC85C
chr14-99995469-99996379;CCDC85C
chr14-100385036-100385806;EML1
chr14-100850875-100851787;WDR25
chr14-101120844-101121670;DLK1
chr14-102516534-102517423;DYNC1H1
chr14-103160297-103161203;RCOR1
chr14-103571729-103572631;EXOC3L4
chr14-104094407-104095274;COA8
chr14-104094407-104095274;KLC1
chr14-105174233-105175144;TMEM179
chr14-105174233-105175144;INF2
chr14-105487227-105488047;CDCA4
chr14-105646117-105647049;NUDT14
chr14-105939841-105940729;MTA1
chr14-105939841-105940729;CRIP2
chr14-105950300-105951106;CRIP2
chr14-106539501-106540422;IGHV1-69-2
chr14-106539501-106540422;IGHV1-24
chr14-106493988-106494835;IGHV1-69-2
chr14-106493988-106494835;IGHV1-24
chr14-106539501-106540422;IGHV1-69-2
chr14-106539501-106540422;IGHV1-24
chr7-158821213-158822092;VIPR2
chr7-22499756-22500648;RAPGEF5
chr7-22121791-22122714;RAPGEF5
chr7-21603790-21604669;DNAH11
chr5-42889070-42889976;SELENOP
chr5-42656324-42657320;GHR
chr5-42583004-42583841;GHR
chr5-41924755-41925668;FBXO4
chr5-41903761-41904682;RIMOC1
chr5-41870042-41870922;OXCT1
chr5-41856429-41857304;OXCT1
chr5-40840930-40841862;CARD6
chr5-40797835-40798670;PRKAA1
chr5-40755569-40756422;TTC33
chr5-40736067-40736949;TTC33
chr5-40687882-40688787;TTC33
chr5-40687882-40688787;PTGER4
chr5-40679275-40680079;PTGER4
chr5-40641063-40641962;PTGER4
chr5-39547339-39548213;DAB2
chr5-39375988-39376904;DAB2
chr5-39217418-39218266;FYB1
chr5-39148523-39149347;FYB1
chr5-39074009-39074895;FYB1
chr5-39074009-39074895;RICTOR
chr5-39080373-39081239;RICTOR
chr5-39076637-39077543;RICTOR
chr5-38453254-38454160;EGFLAM
chr5-38441466-38442338;EGFLAM
chr5-37378792-37379701;WDR70
chr5-37370755-37371649;NUP155
chr5-36944377-36945282;NIPBL
chr5-36876371-36877200;NIPBL
chr5-36875573-36876147;NIPBL
chr5-36870176-36871075;NIPBL
chr5-36728754-36729624;SLC1A3
chr5-36688921-36689607;SLC1A3
chr5-36241654-36242522;RANBP3L
chr5-36241654-36242522;NADK2
chr5-36151549-36152443;SKP2
chr5-36151549-36152443;LMBRD2
chr5-35924616-35925528;CAPSL
chr5-35924616-35925528;UGT3A2
chr5-35908142-35908965;CAPSL
chr5-35858855-35859750;CAPSL
chr5-35858855-35859750;IL7R
chr5-35884049-35884971;IL7R
chr5-35856407-35857313;IL7R
chr5-35854088-35854847;IL7R
chr5-35826324-35827080;SPEF2
chr5-35777366-35778280;SPEF2
chr5-35671250-35672115;SPEF2
chr5-35617352-35618246;SPEF2
chr5-35089430-35090328;PRLR
chr5-35003072-35003934;AGXT2
chr5-34929136-34929988;DNAJC21
chr5-34915144-34916043;RAD1
chr5-34915144-34916043;BRIX1
chr5-34898021-34898921;RAD1
chr5-34898021-34898921;TTC23L
chr5-34522871-34523755;C1QTNF3
chr5-34485952-34486830;C1QTNF3
chr5-34007564-34008491;C1QTNF3
chr5-34007564-34008491;AMACR
chr5-33440417-33441318;TARS1
chr5-32585352-32586278;SUB1
chr5-32572843-32573754;SUB1
chr5-32489434-32490330;ZFR
chr5-32444285-32445095;ZFR
chr5-32329106-32330007;MTMR12
chr5-32312626-32313517;MTMR12
chr5-32232208-32233102;MTMR12
chr5-32173888-32174779;GOLPH3
chr5-32092929-32093840;GOLPH3
chr5-32092929-32093840;PDZD2
chr5-31825338-31826217;PDZD2
chr5-31581140-31582068;C5orf22
chr5-31531764-31532669;C5orf22
chr5-31531764-31532669;DROSHA
chr5-31133210-31134074;CDH6
chr5-17400786-17401629;BASP1
chr5-17282278-17283089;BASP1
chr5-16933784-16934601;MYO10
chr5-16790917-16791805;MYO10
chr5-16673063-16673950;MYO10
chr5-16552448-16553359;RETREG1
chr5-16465377-16466294;RETREG1
chr5-16465377-16466294;ZNF622
chr5-16455889-16456762;RETREG1
chr5-16455889-16456762;ZNF622
chr5-14706344-14707254;ANKH
chr5-14685450-14686360;ANKH
chr5-14685450-14686360;OTULIN
chr5-14670967-14671671;OTULIN
chr5-14667932-14668754;OTULIN
chr5-14664074-14664997;OTULIN
chr5-14606829-14607653;OTULIN
chr5-14606829-14607653;OTULINL
chr5-14648281-14649191;OTULINL
chr5-14559969-14560835;OTULINL
chr5-14483323-14484210;OTULINL
chr5-14483323-14484210;TRIO
chr5-14398848-14399721;TRIO
chr5-14325987-14326839;TRIO
chr5-14269940-14270844;TRIO
chr5-10760820-10761718;DAP
chr5-10694797-10695650;DAP
chr5-10627514-10628421;ANKRD33B
chr5-10601051-10601962;ANKRD33B
chr5-10452542-10453401;ROPN1L
chr5-10441394-10442306;ROPN1L
chr5-10353192-10354071;MARCHF6
chr5-10283746-10284650;CMBL
chr5-10249730-10250591;CCT5
chr5-10249730-10250591;ATPSCKMT
chr5-9544212-9545101;SEMA5A
chr5-9528781-9529650;SEMA5A
chr5-9361513-9362388;SEMA5A
chr8-99837810-99838663;STK3
chr8-100905997-100906792;COX6C
chr8-101196504-101197172;POLR2K
chr8-101196504-101197172;SPAG1
chr8-101294381-101295224;SPAG1
chr8-101296891-101297626;SPAG1
chr8-101294381-101295224;RNF19A
chr8-101296891-101297626;RNF19A
chr8-102197049-102197930;ZNF706
chr8-102632319-102633186;GRHL2
chr8-107533349-107534249;OXR1
chr8-107737243-107738072;OXR1
chr8-108177976-108178689;ANGPT1
chr8-109735086-109735868;TMEM74
chr8-117559866-117560763;EIF3H
chr8-118565825-118566733;MED30
chr8-120844786-120845690;TAF2
chr8-120868455-120869361;DSCC1
chr8-121384356-121385255;COL14A1
chr8-124262565-124263397;ZHX1
chr8-124498122-124499037;FBXO32
chr8-125568323-125569227;NDUFB9
chr8-125568323-125569227;MTSS1
chr8-125605929-125606827;MTSS1
chr8-125620066-125620941;MTSS1
chr8-125649325-125650121;MTSS1
chr8-125696493-125697376;MTSS1
chr8-125941811-125942741;SQLE
chr8-125973502-125974265;SQLE
chr8-126131164-126132071;WASHC5
chr8-126131164-126132071;NSMCE2
chr8-133896712-133897611;TG
chr8-141173006-141173878;TRAPPC9
chr8-141174660-141175541;TRAPPC9
chr8-141403699-141404573;TRAPPC9
chr8-142339866-142340761;SLC45A4
chr8-143529142-143530046;ADGRB1
chr8-143553132-143554037;ADGRB1
chr8-144465400-144466282;RHPN1
chr9-35605126-35605782;C8orf33
chr22-36703114-36704013;MYH9
chr22-36773667-36774523;MYH9
chr22-36902374-36903197;FOXRED2
chr22-37032537-37033416;EIF3D
chr22-37032537-37033416;CACNG2
chr22-37098726-37099605;CACNG2
chr22-37169946-37170858;IFT27
chr22-37177988-37178866;IFT27
chr22-37255974-37256896;NCF4
chr22-37269711-37270508;NCF4
chr22-37309320-37310212;CSF2RB
chr22-37324490-37325411;CSF2RB
chr22-37324490-37325411;CSF2RB
chr22-37561492-37562357;C1QTNF6
chr22-37610568-37611430;SSTR3
chr22-37638128-37638941;RAC2
chr22-37824595-37825540;ELFN2
chr22-38056818-38057699;SH3BP1
chr22-38080818-38081745;NOL12
chr22-38136509-38137387;TRIOBP
chr22-38161871-38162741;TRIOBP
chr22-38213020-38213783;GCAT
chr22-38214273-38215162;GCAT
chr22-38623007-38623828;MAFF
chr22-38623007-38623828;TMEM184B
chr22-38926951-38927861;DDX17
chr22-38926951-38927861;DMC1
chr22-39076858-39077763;CBY1
chr22-39076858-39077763;TOMM22
chr22-39096837-39097738;TOMM22
chr22-39096837-39097738;JOSD1
chr22-39152259-39153175;SUN2
chr22-39264221-39265081;NPTXR
chr22-39264221-39265081;CBX6
chr22-39266221-39267127;NPTXR
chr22-39266221-39267127;CBX6
chr22-39407921-39408781;APOBEC3H
chr22-39410024-39410860;APOBEC3H
chr22-39567076-39567993;CBX7
chr22-39745485-39746344;SYNGR1
chr22-39930777-39931691;RPS19BP1
chr22-39946465-39947134;CACNA1I
chr22-39993881-39994514;CACNA1I
chr22-40237059-40237943;ENTHD1
chr22-40334596-40335487;GRAP2
chr22-40336116-40336990;GRAP2
chr22-40401486-40402290;GRAP2
chr22-40401486-40402290;FAM83F
chr22-40431977-40432834;FAM83F
chr22-41178129-41178946;SLC25A17
chr22-41178129-41178946;MCHR1
chr22-41682021-41682918;RANGAP1
chr22-41696821-41697739;RANGAP1
chr22-41696821-41697739;ZC3H7B
chr22-41762772-41763682;ZC3H7B
chr22-41762772-41763682;TEF
chr22-41777772-41778682;TEF
chr22-41800098-41800982;TEF
chr22-41939816-41940716;POLR3H
chr22-41946526-41947434;POLR3H
chr22-42314770-42315488;SHISA8
chr22-42316825-42317715;TNFRSF13C
chr22-42347164-42348098;SMIM45
chr22-42779855-42780757;NFAM1
chr22-42977347-42978228;RRP7A
chr22-44192121-44192968;EFCAB6
chr22-45131568-45132416;PRR5
chr22-45612288-45613173;KIAA0930
chr22-45623539-45624444;KIAA0930
chr22-46149941-46150836;ATXN10
chr22-46149941-46150836;RNU2-34P
chr22-46259148-46259967;ATXN10
chr22-46373906-46374786;WNT7B
chr22-46730894-46731731;GTSE1
chr22-46730894-46731731;TRMU
chr22-46933183-46934068;CELSR1
chr22-50247510-50248401;ZBED4
chr22-50691253-50692128;HDAC10
chr22-50691253-50692128;MAPK12
chr12-41339593-41340482;CNTN1
chr12-42631290-42632195;YAF2
chr12-45626924-45627732;ANO6
chr12-45721509-45722384;ANO6
chr12-46458512-46459403;SCAF11
chr12-46546539-46547445;SLC38A1
chr12-46660694-46661112;SLC38A1
chr12-47054386-47055307;SLC38A4
chr12-47414332-47415215;AMIGO2
chr12-47426636-47427588;AMIGO2
chr12-48118949-48119765;ENDOU
chr12-48197830-48198721;HDAC7
chr12-48957078-48957969;LALBA
chr12-48966269-48967112;LALBA
chr12-49110404-49111308;CCNT1
chr12-49245425-49246299;CACNB3
chr12-49245425-49246299;DDX23
chr12-49283599-49284470;CCDC65
chr12-49388826-49389721;DDN
chr12-49388826-49389721;WNT1
chr12-49690478-49691309;TUBA1C
chr12-49690478-49691309;PRPH
chr12-49716370-49717274;PRPH
chr12-49716370-49717274;TROAP
chr12-49741104-49741884;DNAJC22
chr12-49961051-49961953;MCRS1
chr12-49961051-49961953;KCNH3
chr12-49974119-49974693;FAM186B
chr12-50017144-50017522;PRPF40B
chr12-50057155-50058056;FMNL3
chr12-50074919-50075826;FMNL3
chr12-50222150-50223043;NCKAP5L
chr12-50504573-50505449;GPD1
chr12-50504573-50505449;COX14
chr12-50569692-50570486;LIMA1
chr12-50579522-50580441;LIMA1
chr12-50942425-50943308;DIP2B
chr12-51318622-51319538;METTL7A
chr12-51318622-51319538;TMPRSS12
chr12-51441332-51442207;LETMD1
chr12-52020429-52021313;SCN8A
chr12-52202894-52203788;SCN8A
chr12-52531339-52532257;KRT80
chr12-52533905-52534758;KRT80
chr12-53321019-53321945;KRT18
chr12-53492710-53493620;SPRYD3
chr12-53492710-53493620;IGFBP6
chr12-53675671-53676590;MFSD5
chr12-53675671-53676590;ESPL1
chr12-54399048-54399943;HOXC9
chr12-54411171-54412098;HOXC6
chr3-58143325-58144176;FLNB
chr3-58173531-58174373;DNASE1L3
chr3-58196208-58197100;DNASE1L3
chr3-58202708-58203570;DNASE1L3
chr3-58291521-58292453;HTD2
chr3-58291521-58292453;ABHD6
chr3-58305876-58306756;HTD2
chr3-58317592-58318482;HTD2
chr3-58317592-58318482;PXK
chr3-58338354-58339126;PXK
chr3-58351871-58352616;PXK
chr3-58419488-58420310;PXK
chr3-58419488-58420310;PDHB
chr19-2270531-2271404;SYNPR
chr3-63978874-63979728;ATXN7
chr3-25818534-25819391;OXSM
chr3-25818534-25819391;NGLY1
chr3-23987139-23988034;NR1D2
chr14-52315112-52316010;GNG2
chr10-75011638-75012359;MRPS16
chr10-75544169-75545054;CHCHD1
chr10-75544169-75545054;ZSWIM8
chr10-76026545-76027418;ADK
chr3-57615997-57616766;SLMAP
chr3-57615997-57616766;DENND6A
chr3-56957526-56958151;ARHGEF3
chr3-56832921-56833748;ARHGEF3
chr3-56771284-56772012;ARHGEF3
chr3-56758295-56759207;ARHGEF3
chr3-56591105-56591961;CCDC66
chr3-53743803-53744518;CACNA1D
chr3-52931605-52932380;SFMBT1
chr3-52931605-52932380;STIMATE
chr3-52838553-52839473;ITIH4
chr3-52838553-52839473;ITIH3
chr3-52444685-52445571;PHF7
chr3-52444685-52445571;BAP1
chr3-15361323-15362084;SH3BP5
chr3-15368893-15369760;SH3BP5
chr10-47080978-47081859;NPY4R2
chr10-47080978-47081859;NPY4R
chr10-88731016-88731906;SNCG
chr10-88281822-88282577;WAPL
chr10-88171903-88172820;WAPL
chr10-88066637-88067512;GRID1
chr14-52868890-52869805;TXNDC16
chr14-53054696-53055570;GPR137C
chr14-53161555-53162469;GPR137C
chr14-53161555-53162469;ERO1A
chr14-54907938-54908840;CNIH1
chr14-54941137-54941985;GMFB
chr14-54976018-54976801;CGRRF1
chr14-55076959-55077824;SAMD4A
chr14-55332354-55333210;GCH1
chr14-58220988-58221906;SLC35F4
chr14-20880970-20881863;PARP2
chr14-20880970-20881863;TEP1
chr14-21796655-21797539;RPGRIP1
chr14-21851823-21852678;SUPT16H
chr14-21923670-21924269;RAB2B
chr14-21924383-21925048;RAB2B
chr14-23057407-23057878;DAD1
chr14-23057971-23058384;DAD1
chr14-23057407-23057878;ABHD4
chr14-23057971-23058384;ABHD4
chr14-23469036-23469963;C14orf93
chr14-23521663-23522479;CDH24
chr14-24036067-24036852;AP1G2
chr14-24036067-24036852;JPH4
chr14-24398713-24399566;DHRS4L2
chr14-24398713-24399566;DHRS4
chr14-24605191-24606065;PSME1
chr14-24605191-24606065;FITM1
chr14-24665309-24666203;TM9SF1
chr13-25267607-25268392;ATP12A
chr13-25268631-25269435;ATP12A
chr13-25301132-25302042;RNF17
chr13-21069291-21070195;
chr13-21069291-21070195;CRYL1
chr13-21140010-21140925;IFT88
chr13-21443124-21443993;XPO4
chr13-21443124-21443993;LATS2
chr13-21476712-21477600;XPO4
chr13-21476712-21477600;LATS2
chr13-21637019-21637786;LATS2
chr13-22278057-22278952;FGF9
chr13-49821327-49822120;CDADC1
chr13-26496349-26497245;ATP8A2
chr13-26482191-26483081;ATP8A2
chr13-23966546-23967455;SACS
chr13-50366751-50367504;KPNA3
chr13-50421936-50422825;SPRYD7
chr13-50548337-50549237;SPRYD7
chr13-51501740-51502648;RNASEH2B
chr13-52194020-52194911;WDFY2
chr13-52203692-52204549;WDFY2
chr8-11421557-11422194;BLK
chr8-11409182-11410084;BLK
chr8-11411217-11412127;BLK
chr8-11163362-11164236;MTMR9
chr8-9898993-9899850;MSRA
chr8-29107821-29108584;KIF13B
chr8-29087105-29087920;KIF13B
chr8-27445675-27446544;CLU
chr8-27323504-27324405;EPHX2
chr8-27323504-27324405;CHRNA2
chr8-27283585-27284488;PTK2B
chr8-25230580-25231452;GNRH1
chr8-25230580-25231452;DOCK5
chr8-23447187-23448076;SLC25A37
chr8-23103394-23103875;CHMP7
chr8-22766607-22767390;PEBP4
chr8-22561518-22562416;PEBP4
chr8-22526878-22527699;EGR3
chr8-22526878-22527699;BIN3
chr8-22529821-22530656;BIN3
chr8-22455990-22456907;C8orf58
chr8-22246018-22246592;SLC39A14
chr8-22074646-22075527;PHYHIP
chr8-22004487-22005242;SFTPC
chr8-22004487-22005242;LGI3
chr8-21966707-21967483;HR
chr8-21966707-21967483;NUDT18
chr8-21965602-21966394;HR
chr8-21965602-21966394;NUDT18
chr8-21911607-21912102;DMTN
chr8-21772411-21773294;DOK2
chr8-21768527-21769439;DOK2
chr8-21654124-21655004;GFRA2
chr13-48985992-48986804;RB1
chr13-48985992-48986804;LPAR6
chr13-48806222-48807097;ITM2B
chr13-48731737-48732598;ITM2B
chr13-48574936-48575768;SUCLA2
chr13-46963757-46964611;RUBCNL
chr13-46961539-46962400;RUBCNL
chr13-46015111-46016019;SLC25A30
chr13-45058234-45059126;TSC22D1
chr13-42728415-42729323;DGKH
chr13-41837368-41838274;NAA16
chr13-41837368-41838274;MTRF1
chr13-67238018-67238927;PCDH9
chr13-77546337-77547120;ACOD1
chr13-77565451-77566344;ACOD1
chr13-77565451-77566344;CLN5
